stringcode,description,en,pt_BR,zh_CN,zh_TW,nl,eo,fi,fr,de,id,it,ja,ko,pl,ru,sr,sr_Latn,es,th,tr,uk,vi
setting_fps30,설정 - 프레임 30,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS,30 FPS
setting_fps60,설정 - 프레임 60,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS,60 FPS
setting_fps120,설정 - 프레임 120,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS,120 FPS
setting_fpsunlimited,설정 - 무제한 fps,Unlimited,Ilimitado,无限制,無限制,Onbeperkt,Senlima,Rajoittamaton,Illimité,Unbegrenzt,Tak Terbatas,Illimitato,無制限,무제한,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
setting_fastmode,설정 - 게임속도 보통,Normal,Normal,普通,普通,Normaal,Normala,Normaali,Normal,Normal,Normal,Normale,普通,보통,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
setting_abandonrun,게임오버 - 런 포기,Abandon Run,Abandonar,放弃本局,放棄本局,Run Verlaten,Forlasi Ludon,Hylkää Peli,Abandonner,Run Aufgeben,Tinggalkan,Abbandona,ランを諦める,런 포기,Abandon Run,Abandon Run,Abandon Run,Abandon Run,Abandon Run,Abandon Run,Abandon Run,Abandon Run,Abandon Run
setting_returnmenu,게임오버 - 메뉴로 복귀,Return to Menu,Menu Principal,返回主菜单,返回主選單,Terug naar Menu,Revenu al Menuo,Palaa Valikkoon,Retour au Menu,Zurück zum Menü,Kembali ke Menu,Torna al Menu,メニューに戻る,메뉴로 돌아가기,Return to Menu,Return to Menu,Return to Menu,Return to Menu,Return to Menu,Return to Menu,Return to Menu,Return to Menu,Return to Menu
setting_combatrestart,설정 - 전투 재시작,Restart Combat,Reiniciar Combate,重新开始战斗,重新開始戰鬥,Gevecht Herstarten,Rekomenci Batalon,Aloita Taistelu Uudelleen,Redémarrer Combat,Kampf Neustarten,Mulai Ulang Pertarungan,Riavvia Combattimento,戦闘を再開,전투 재시작,Restart Combat,Restart Combat,Restart Combat,Restart Combat,Restart Combat,Restart Combat,Restart Combat,Restart Combat,Restart Combat
setting_mainmenubutton,설정 - 메인메뉴 이동,Main Menu,Menu Principal,主菜单,主選單,Hoofdmenu,Ĉefa Menuo,Päävalikko,Menu Principal,Hauptmenü,Menu Utama,Menu Principale,メインメニュー,메인 메뉴,Main Menu,Main Menu,Main Menu,Main Menu,Main Menu,Main Menu,Main Menu,Main Menu,Main Menu
setting_cardconfirmation,설정 - 카드 확인,Card Confirmation,Confirmação de Carta,卡牌确认,卡牌確認,Kaartbevestiging,Karta Konfirmo,Korttivahvistus,Confirmation de Carte,Kartenbestätigung,Konfirmasi Kartu,Conferma Carta,カード確認,카드 확인,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation,Card Confirmation
setting_muteinbackground,설정 - 백그라운드 음소거,Mute When Inactive,Silenciar Quando Inativo,后台静音,背景靜音,Dempen Op Achtergrond,Silenta En Fono,Mykistä Taustalla,Muet en Arrière-plan,Im Hintergrund Stumm,Bisukan Saat Tidak Aktif,Disattiva In Background,バックグラウンドでミュート,백그라운드에서 음소거,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive,Mute When Inactive
item_name_100,아이템 - 액션 포션 이름,Action Potion,Poção de Ação,行动药水,行動藥水,Actiedrankje,Aga Pocio,Toimintajuoma,Potion d'Action,Aktionstrank,Ramuan Aksi,Pozione d'Azione,アクションポーション,액션 포션,Action Potion,Action Potion,Action Potion,Action Potion,Action Potion,Action Potion,Action Potion,Action Potion,Action Potion
item_desc_100,아이템 - 액션 포션 설명,Draw 1 random action card into your hand.,Pega 1 carta de ação aleatória para a mão.,将1张随机的行动牌加入手牌。,將1張隨機的行動牌加入手牌。,Trek 1 willekeurige actiekaart in je hand.,Prenu 1 hazardan agan karton al via mano.,Nosta 1 satunnainen toimintakortti käteen.,Pioche 1 carte d'action aléatoire dans ta main.,Ziehe 1 zufällige Aktionskarte auf die Hand.,Ambil 1 kartu aksi acak ke tangan.,Pesca 1 carta azione casuale in mano.,ランダムなアクションカード1枚を手札に加える。,무작위 액션 카드 1장을 손으로 가져옵니다.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.,Draw 1 random action card into your hand.
item_name_101,아이템 - 이동 포션 이름,Move Potion,Poção de Movimento,移动药水,移動藥水,Bewegingdrankje,Mova Pocio,Liikejuoma,Potion de Mouvement,Bewegungstrank,Ramuan Gerak,Pozione di Movimento,移動ポーション,이동 포션,Move Potion,Move Potion,Move Potion,Move Potion,Move Potion,Move Potion,Move Potion,Move Potion,Move Potion
item_desc_101,아이템 - 이동 포션 설명,Draw 1 random move card into your hand.,Pega 1 carta de movimento aleatória para a mão.,将1张随机的移动牌加入手牌。,將1張隨機的移動牌加入手牌。,Trek 1 willekeurige bewegingskaart in je hand.,Prenu 1 hazardan movkarton al via mano.,Nosta 1 satunnainen liikekortti käteen.,Pioche 1 carte de mouvement aléatoire dans ta main.,Ziehe 1 zufällige Bewegungskarte auf die Hand.,Ambil 1 kartu gerak acak ke tangan.,Pesca 1 carta movimento casuale in mano.,ランダムな移動カード1枚を手札に加える。,무작위 이동 카드 1장을 손으로 가져옵니다.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.,Draw 1 random move card into your hand.
item_name_102,아이템 - 파워 포션 이름,Power Potion,Poção de Poder,强力药水,強力藥水,Krachtdrankje,Potenca Pocio,Voimajuoma,Potion de Pouvoir,Krafttrank,Ramuan Kekuatan,Pozione di Potere,パワーポーション,파워 포션,Power Potion,Power Potion,Power Potion,Power Potion,Power Potion,Power Potion,Power Potion,Power Potion,Power Potion
item_desc_102,아이템 - 파워 포션 설명,Draw 1 random power card into your hand.,Pega 1 carta de poder aleatória para a mão.,将1张随机的强力牌加入手牌。,將1張隨機的強力牌加入手牌。,Trek 1 willekeurige krachtkaart in je hand.,Prenu 1 hazardan potencan karton al via mano.,Nosta 1 satunnainen voimakortti käteen.,Pioche 1 carte de pouvoir aléatoire dans ta main.,Ziehe 1 zufällige Kraftkarte auf die Hand.,Ambil 1 kartu kekuatan acak ke tangan.,Pesca 1 carta potere casuale in mano.,ランダムなパワーカード1枚を手札に加える。,무작위 파워 카드 1장을 손으로 가져옵니다.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.,Draw 1 random power card into your hand.
item_name_103,아이템 - 재활용 포션 이름,Recycle Potion,Poção de Reciclagem,再生药水,再生藥水,Recycledrankje,Recikla Pocio,Kierrätysjuoma,Potion de Recyclage,Recycling-Trank,Ramuan Daur Ulang,Pozione di Riciclo,リサイクルポーション,재활용 포션,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion,Recycle Potion
item_desc_103,아이템 - 재활용 포션 설명,Choose 1 card from the discard pile and add it to your hand.,Escolha 1 carta da pilha de descarte e adicione à sua mão.,从弃牌堆中选择1张牌加入手牌。,從棄牌堆中選擇1張牌加入手牌。,Kies 1 kaart uit de aflegstapel en voeg deze toe aan je hand.,Elektu 1 karton el la forĵetstako kaj prenu ĝin al via mano.,Valitse 1 kortti hylkypakasta ja ota se käteen.,Choisis 1 carte de la pile de défausse et ajoute-la à ta main.,Wähle 1 Karte aus dem Ablagestapel und nimm sie auf die Hand.,Pilih 1 kartu dari tumpukan buangan dan masukkan ke tangan.,Scegli 1 carta dalla pila degli scarti e aggiungila alla mano.,捨て札の山からカード1枚を選んで手札に加える。,버린 카드 더미에서 카드를 1장 선택해 손으로 가져옵니다.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.,Choose 1 card from the discard pile and add it to your hand.
item_name_104,아이템 - 예지 포션 이름,Foresight Potion,Poção da Premonição,预知药水,預知藥水,Voorzienigheidsdrankje,Antaŭvida Pocio,Ennakointijuoma,Potion de Prescience,Vorhersehungstrank,Ramuan Pemandangan,Pozione di Preveggenza,予知ポーション,예지 포션,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion,Foresight Potion
item_desc_104,아이템 - 예지 포션 설명,Choose 1 card from the draw pile and add it to your hand.,Escolha 1 carta da pilha de compra e adicione à sua mão.,从抽牌堆中选择1张牌加入手牌。,從抽牌堆中選擇1張牌加入手牌。,Kies 1 kaart uit de trekstapel en voeg deze toe aan je hand.,Elektu 1 karton el la prenstako kaj prenu ĝin al via mano.,Valitse 1 kortti nostopakasta ja ota se käteen.,Choisis 1 carte de la pile de pioche et ajoute-la à ta main.,Wähle 1 Karte aus dem Nachziehstapel und nimm sie auf die Hand.,Pilih 1 kartu dari tumpukan tarik dan masukkan ke tangan.,Scegli 1 carta dalla pila di pesca e aggiungila alla mano.,山札からカード1枚を選んで手札に加える。,뽑을 카드 더미에서 카드를 1장 선택해 손으로 가져옵니다.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.,Choose 1 card from the draw pile and add it to your hand.
item_name_105,아이템 - 화살 이름,Arrow,Flecha,箭矢,箭矢,Pijl,Sago,Nuoli,Flèche,Pfeil,Anak Panah,Freccia,矢,화살,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow,Arrow
item_desc_105,아이템 - 화살 설명,Deal 20 damage to an enemy.,Causa 20 de dano em um inimigo.,对敌人造成20点伤害。,對敵人造成20點傷害。,Doe 20 schade aan een vijand.,Faru 20 damaĝon al malamiko.,Aiheuta 20 vahinkoa viholliselle.,Inflige 20 dégâts à un ennemi.,Füge einem Gegner 20 Schaden zu.,Berikan 20 kerusakan ke musuh.,Infligge 20 danni a un nemico.,敵に20ダメージを与える。,적에게 피해를 20 줍니다.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.,Deal 20 damage to an enemy.
item_name_106,아이템 - 격노 포션 이름,Rage Potion,Poção de Fúria,狂暴药水,狂暴藥水,Razerdrankje,Furiozo Pocio,Raivojuoma,Potion de Rage,Wuttrank,Ramuan Amarah,Pozione di Furia,レイジポーション,격노 포션,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion
item_desc_106,아이템 - 격노 포션 설명,Gain 5 strength this turn.,Ganhe 5 de força neste turno.,本回合获得5点力量。,本回合獲得5點力量。,Krijg 5 kracht deze beurt.,Akiru 5 forton ĉi-vice.,Saat 5 voimaa tällä vuorolla.,Gagne 5 force ce tour.,Erhalte 5 Stärke in diesem Zug.,Dapatkan 5 kekuatan giliran ini.,Ottieni 5 forza in questo turno.,このターンに力を5得る。,이번 턴에 힘을 5 얻습니다.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.,Gain 5 strength this turn.
item_name_107,아이템 - 힘포션 이름,Strength Potion,Poção de Força,力量药水,力量藥水,Krachtdrankje Sterkte,Forto Pocio,Voimajuoma,Potion de Force,Stärketrank,Ramuan Kekuatan,Pozione di Forza,力のポーション,힘포션,Strength Potion,Strength Potion,Strength Potion,Strength Potion,Strength Potion,Strength Potion,Strength Potion,Strength Potion,Strength Potion
item_desc_107,아이템 - 힘포션 설명,Gain 2 strength this combat.,Ganhe 2 de força neste combate.,本场战斗获得2点力量。,本場戰鬥獲得2點力量。,Krijg 2 kracht dit gevecht.,Akiru 2 forton dum ĉi tiu batalo.,Saat 2 voimaa tässä taistelussa.,Gagne 2 force ce combat.,Erhalte 2 Stärke in diesem Kampf.,Dapatkan 2 kekuatan dalam pertarungan ini.,Ottieni 2 forza in questo combattimento.,この戦闘中に力を2得る。,이번 전투에서 힘을 2 얻습니다.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.,Gain 2 strength this combat.
item_name_108,아이템 - 재사용 포션 이름,Reuse Potion,Poção de Reutilização,重复药水,重複藥水,Hergebruikdrankje,Reuza Pocio,Uudelleenkäyttöjuoma,Potion de Réutilisation,Wiederverwendungstrank,Ramuan Pakai Ulang,Pozione di Riutilizzo,再使用ポーション,재사용 포션,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion,Reuse Potion
item_desc_108,아이템 - 재사용 포션 설명,Play the next card you use one more time.,Joga a próxima carta usada mais uma vez.,你使用的下一张牌再使用一次。,你使用的下一張牌再使用一次。,Speel de volgende kaart die je gebruikt nog een keer.,Ludu la sekvan karton ankoraŭfoje.,Pelaa seuraava käyttämäsi kortti vielä kerran.,Joue la prochaine carte utilisée une fois de plus.,Spiele die nächste Karte erneut.,Mainkan kartu berikutnya sekali lagi.,Gioca la prossima carta usata un'altra volta.,次に使うカードをもう一度使用する。,다음에 사용하는 카드를 한 번 더 사용합니다.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.,Play the next card you use one more time.
item_name_109,아이템 - 섬광탄 이름,Flashbang,Granada de Luz,闪光弹,閃光彈,Verblindingsgranaat,Brilbombo,Salamapommi,Grenade Aveuglante,Blendgranate,Granat Kilat,Granata Stordente,閃光弾,섬광탄,Flashbang,Flashbang,Flashbang,Flashbang,Flashbang,Flashbang,Flashbang,Flashbang,Flashbang
item_desc_109,아이템 - 섬광탄 설명,Apply 1 stun.,Aplica 1 atordoamento.,施加1层眩晕。,施加1層眩暈。,Verleen 1 verdoving.,Aldonu 1 svenon.,Anna 1 tainnutus.,Applique 1 étourdissement.,Verleihe 1 Betäubung.,Berikan 1 pingsan.,Applica 1 stordimento.,スタンを1付与する。,기절을 1 부여합니다.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.,Apply 1 stun.
item_name_170,아이템 - 격노 포션(170) 이름,Rage Potion,Poção de Fúria,狂暴药水,狂暴藥水,Razerdrankje,Furiozo Pocio,Raivojuoma,Potion de Rage,Wuttrank,Ramuan Amarah,Pozione di Furia,レイジポーション,격노 포션,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion,Rage Potion
item_desc_170,아이템 - 격노 포션(170) 설명,Gain 3 strength this combat and take 1 damage 3 times.,Ganhe 3 de força neste combate e receba 1 de dano 3 vezes.,本场战斗获得3点力量并受到3次1点伤害。,本場戰鬥獲得3點力量並受到3次1點傷害。,Krijg 3 kracht dit gevecht en ontvang 3 keer 1 schade.,Akiru 3 forton ĉi-batale kaj ricevu 1 damaĝon 3-foje.,Saat 3 voimaa tässä taistelussa ja otat 1 vahinkoa 3 kertaa.,Gagne 3 force ce combat et reçois 1 dégât 3 fois.,Erhalte 3 Stärke in diesem Kampf und erleide 3-mal 1 Schaden.,Dapatkan 3 kekuatan dalam pertarungan ini dan terima 1 kerusakan 3 kali.,Ottieni 3 forza in questo combattimento e subisci 1 danno 3 volte.,この戦闘中に力を3得て1ダメージを3回受ける。,이번 전투에서 힘을 3 얻고 피해를 1씩 3번 받습니다.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.,Gain 3 strength this combat and take 1 damage 3 times.
item_name_180,아이템 - 행운의 포션 이름,Lucky Potion,Poção da Sorte,幸运药水,幸運藥水,Geluksdrankje,Bonŝanca Pocio,Onnenjuoma,Potion de Chance,Glückstrank,Ramuan Keberuntungan,Pozione della Fortuna,ラッキーポーション,행운의 포션,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion,Lucky Potion
item_desc_180,아이템 - 행운의 포션 설명,Gain 1 dodge.,Ganhe 1 esquiva.,获得1层闪避。,獲得1層閃避。,Krijg 1 ontwijking.,Akiru 1 evitadon.,Saat 1 väistö.,Gagne 1 esquive.,Erhalte 1 Ausweichen.,Dapatkan 1 elak.,Ottieni 1 schivata.,回避を1得る。,회피를 1 얻습니다.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.,Gain 1 dodge.
item_name_190,아이템 - 화염병 이름,Molotov,Coquetel Molotov,燃烧瓶,燃燒瓶,Molotov,Molotovo,Polttopullo,Cocktail Molotov,Molotow,Molotov,Molotov,火炎瓶,화염병,Molotov,Molotov,Molotov,Molotov,Molotov,Molotov,Molotov,Molotov,Molotov
item_desc_190,아이템 - 화염병 설명,Apply 4 burn.,Aplica 4 de queimadura.,施加4层燃烧。,施加4層燃燒。,Verleen 4 brand.,Aldonu 4 flamon.,Anna 4 palaminen.,Applique 4 brûlure.,Verleihe 4 Brand.,Berikan 4 bakar.,Applica 4 fuoco.,火炎を4付与する。,화염을 4 부여합니다.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.,Apply 4 burn.
item_name_200,아이템 - 체력 포션 이름,Health Potion,Poção de Vida,生命药水,生命藥水,Levensdrankje,Sano Pocio,Elämäjuoma,Potion de Vie,Heiltrank,Ramuan Nyawa,Pozione Curativa,体力ポーション,채력 포션,Health Potion,Health Potion,Health Potion,Health Potion,Health Potion,Health Potion,Health Potion,Health Potion,Health Potion
item_desc_200,아이템 - 체력 포션 설명,Restore 20% HP.,Recupera 20% de vida.,恢复20%生命值。,恢復20%生命值。,Herstel 20% van je leven.,Resanigu 20% de HP.,Palauta 20% elämästä.,Restaure 20% de PV.,Stelle 20% LP wieder her.,Pulihkan 20% HP.,Recupera il 20% di PV.,体力を20%回復する。,채력을 20% 회복합니다.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.,Restore 20% HP.
item_name_201,아이템 - 유령 병 이름,Ghost Bottle,Garrafa Fantasma,幽灵瓶,幽靈瓶,Spookfles,Fantoma Botelo,Aavepullo,Bouteille Fantôme,Geisterflasche,Botol Hantu,Bottiglia Fantasma,ゴーストボトル,유령 병,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle,Ghost Bottle
item_desc_201,아이템 - 유령 병 설명,Apply 1 fear.,Aplica 1 medo.,施加1层恐惧。,施加1層恐懼。,Verleen 1 angst.,Aldonu 1 timon.,Anna 1 pelko.,Applique 1 peur.,Verleihe 1 Furcht.,Berikan 1 ketakutan.,Applica 1 paura.,恐怖を1付与する。,공포를 1 부여합니다.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.,Apply 1 fear.
item_name_202,아이템 - 폭탄 이름,Bomb,Bomba,炸弹,炸彈,Bom,Bombo,Pommi,Bombe,Bombe,Bom,Bomba,爆弾,폭탄,Bomb,Bomb,Bomb,Bomb,Bomb,Bomb,Bomb,Bomb,Bomb
item_desc_202,아이템 - 폭탄 설명,Deal 10 damage in an area.,Causa 10 de dano em uma área.,对范围内造成10点伤害。,對範圍內造成10點傷害。,Doe 10 schade in een gebied.,Faru 10 damaĝon en areo.,Aiheuta 10 vahinkoa alueelle.,Inflige 10 dégâts en zone.,Füge in einem Bereich 10 Schaden zu.,Berikan 10 kerusakan dalam area.,Infligge 10 danni in area.,範囲に10ダメージを与える。,모든 범위에 10 피해를 줍니다.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.,Deal 10 damage in an area.
item_name_203,아이템 - 성수 이름,Holy Water,Água Benta,圣水,聖水,Wijwater,Sankta Akvo,Pyhä Vesi,Eau Bénite,Weihwasser,Air Suci,Acqua Santa,聖水,성수,Holy Water,Holy Water,Holy Water,Holy Water,Holy Water,Holy Water,Holy Water,Holy Water,Holy Water
item_desc_203,아이템 - 성수 설명,Remove all harmful effects from yourself.,Remove todos os efeitos prejudiciais de você.,移除自己身上所有有害效果。,移除自己身上所有有害效果。,Verwijder alle schadelijke effecten van jezelf.,Forigu ĉiujn malutilajn efikojn de vi.,Poista kaikki haitalliset vaikutukset itsestäsi.,Retire tous les effets néfastes sur toi-même.,Entferne alle schädlichen Effekte von dir.,Hapus semua efek merugikan dari diri sendiri.,Rimuovi tutti gli effetti dannosi da te stesso.,自身にかかったすべての有害な効果を除去する。,자신에게 걸린 해로운 효과를 모두 제거합니다.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.,Remove all harmful effects from yourself.
item_name_204,아이템 - 사기 주사위 이름,Loaded Dice,Dado Viciado,灌铅骰子,灌鉛骰子,Verzwaarde Dobbelsteen,Trompa Ĵetkubo,Lastattu Noppa,Dé Pipé,Gezinkter Würfel,Dadu Curang,Dado Truccato,イカサマダイス,사기 주사위,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice,Loaded Dice
item_desc_204,아이템 - 사기 주사위 설명,Draw 1 random Action/Power/Move card into your hand.,Pega 1 carta aleatória de Ação/Poder/Movimento para a mão.,将1张随机的行动/强力/移动牌加入手牌。,將1張隨機的行動/強力/移動牌加入手牌。,Trek 1 willekeurige Actie/Kracht/Beweging-kaart in je hand.,Prenu 1 hazardan Agan/Potencan/Movan karton al via mano.,Nosta 1 satunnainen Toiminta/Voima/Liike-kortti käteen.,Pioche 1 carte Action/Pouvoir/Mouvement aléatoire dans ta main.,Ziehe 1 zufällige Aktions-/Kraft-/Bewegungskarte auf die Hand.,Ambil 1 kartu Aksi/Kekuatan/Gerak acak ke tangan.,Pesca 1 carta Azione/Potere/Movimento casuale in mano.,ランダムなアクション/パワー/移動カード1枚を手札に加える。,무작위 액션 파워 이동 카드한장을 손으로 가져옵니다.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.,Draw 1 random Action/Power/Move card into your hand.
item_name_205,아이템 - 포션 상자 이름,Potion Box,Caixa de Poções,药水盒,藥水盒,Drankjeskist,Pocio Skatolo,Juomalaatikko,Boîte à Potions,Trankkiste,Kotak Ramuan,Scatola di Pozioni,ポーションボックス,포션 상자,Potion Box,Potion Box,Potion Box,Potion Box,Potion Box,Potion Box,Potion Box,Potion Box,Potion Box
item_desc_205,아이템 - 포션 상자 설명,Fill empty potion slots with random potions.,Preenche slots vazios com poções aleatórias.,用随机药水填满空药水槽。,用隨機藥水填滿空藥水槽。,Vul lege drankjessleuven met willekeurige drankjes.,Plenigu malplenajn poci-ujojn per hazardaj pocioj.,Täytä tyhjät juomapaikat satunnaisilla juomilla.,Remplis les emplacements vides avec des potions aléatoires.,Fülle leere Trankslots mit zufälligen Tränken.,Isi slot ramuan kosong dengan ramuan acak.,Riempi gli slot vuoti con pozioni casuali.,空のポーションスロットをランダムなポーションで埋める。,빈 포션 슬롯을 무작위 포션으로 채웁니다.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.,Fill empty potion slots with random potions.
item_name_206,아이템 - 무지개 포션 이름,Rainbow Potion,Poção do Arco-Íris,彩虹药水,彩虹藥水,Regenboogdrankje,Ĉielarka Pocio,Sateenkaarijuoma,Potion Arc-en-ciel,Regenbogentrank,Ramuan Pelangi,Pozione Arcobaleno,レインボーポーション,무지개 포션,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion,Rainbow Potion
